architecture,batch_size,conv_filters,conv_ksize,data_augmented,dropout_keep_probability,elapsed_time_to_train,validation_accuracy
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",False,0.5,31.183523178100586,"[0.71927437593066501, 0.85442176870748299, 0.90793650793650793, 0.93287981808050424, 0.94920634920634916]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",True,0.4,42.758208513259895,"[0.60748299341353162, 0.74580498849994203, 0.80839002224323164, 0.8367346934180141, 0.8585034009280389]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",False,0.5,8.77062201499939,"[0.73537414974095872, 0.82448979570211467, 0.87006802648103154, 0.88662131519274379, 0.8970521539517271]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",False,0.6,6.978181600570679,"[0.76553288014297316, 0.85351473849917214, 0.87437641723356008, 0.89455782288596741, 0.89637188132928347]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",True,0.5,22.56210517883301,"[0.72426303865687913, 0.78321995508103148, 0.80929705172168964, 0.82879818523822191, 0.83310657558527668]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",False,0.5,11.370995283126831,"[0.7954648528780256, 0.8884353741496599, 0.90861678004535151, 0.91179138349027045, 0.92902494358097343]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",False,0.6,14.423303127288818,"[0.7278911560030481, 0.83786848075265519, 0.86417233457370679, 0.87868480676966731, 0.88367346863087071]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",True,0.5,17.542545557022095,"[0.73219954632307127, 0.79841269873707743, 0.83514739266869165, 0.85623582771846229, 0.85510204068116857]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",False,0.4,9.585304737091064,"[0.74308390022675741, 0.84943310606236355, 0.88231292544038387, 0.9018140592272319, 0.91814058983947688]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",True,0.4,29.761085510253906,"[0.44648526074394346, 0.50952380976709377, 0.53990929645745933, 0.53854875280743553, 0.58503401330809479]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",False,0.5,10.66538071632385,"[0.51247165524770344, 0.62834467103962455, 0.66507936491717556, 0.67845804915676855, 0.68684807240016876]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",True,0.5,35.334332704544074,"[0.58117913857879555, 0.72857142797673369, 0.78095238133082312, 0.81247165524770348, 0.83061224503311715]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",False,0.6,10.361879348754883,"[0.67074829886019094, 0.74149659880164531, 0.77959183705907287, 0.77800453474191855, 0.77868480628309877]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",True,0.6,21.703028917312626,"[0.67959183603187268, 0.78616780083195692, 0.82176870705048788, 0.83945578233995677, 0.84716553296091335]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",False,0.6,16.827969312667847,"[0.83968253987176078, 0.89024943348501817, 0.89183673488309867, 0.89591836740100195, 0.89773242668229702]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",True,0.4,29.01428365707397,"[0.66621315149493232, 0.77324263070986654, 0.81088435379555979, 0.83786848050937091, 0.85782312927873228]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",True,0.6,41.18179488182068,"[0.79206349206349203, 0.84217687096455196, 0.87074829953598054, 0.87097505690559507, 0.88934240400656006]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",True,0.6,34.03090596199036,"[0.4428571427625323, 0.53333333341442812, 0.54353741518223908, 0.57619047616344465, 0.5646258505834203]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",True,0.4,39.028737306594856,"[0.77278911605173228, 0.81111111148955328, 0.81859410452464265, 0.84421768712889311, 0.8528344671742446]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",False,0.5,19.40221118927002,"[0.8546485262663186, 0.88390022713581184, 0.88979591836734695, 0.88843537433888098, 0.91700680291030956]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",True,0.4,37.16437888145447,"[0.62108843548227599, 0.71859410441651639, 0.76666666623416135, 0.78616780039945156, 0.81587301579192106]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",True,0.5,31.264467477798465,"[0.79886621269239044, 0.84807256273671883, 0.88344671180188794, 0.8761904760012551, 0.90090702923517374]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",True,0.5,73.56533336639404,"[0.7970521542490745, 0.88730158749080834, 0.90634920653842743, 0.93197278930486738, 0.93786848091484465]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",True,0.6,40.335389614105225,"[0.51065759637188213, 0.61043083913742546, 0.60226757385833463, 0.61609977324263043, 0.62902494363503658]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",True,0.6,26.58414626121521,"[0.63038548777162895, 0.6575963718550546, 0.68480725569519596, 0.7122448976077731, 0.709750566569045]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",True,0.6,28.767884016036987,"[0.75011337798198607, 0.80952380933458845, 0.82925170024776673, 0.84739229014130679, 0.84535147403102884]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",False,0.4,23.4453444480896,"[0.87097505687856347, 0.92290249452028683, 0.94897959221517691, 0.93605442214714962, 0.95873015891937985]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",True,0.6,41.71918249130249,"[0.60294784612936769, 0.65895691623493113, 0.68253968283702993, 0.68480725656020669, 0.71632653055818174]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",True,0.5,25.483896493911747,"[0.56643990948627321, 0.62607709772192166, 0.64965986391854669, 0.67959183686985181, 0.69614512514905869]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",False,0.4,18.593207597732547,"[0.76734693828894163, 0.86145124692224861, 0.88684807283267408, 0.89523809475152671, 0.91791383144266214]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",True,0.4,43.709948301315315,"[0.73877551025814481, 0.79365079405626737, 0.80272108848943735, 0.82018140649038651, 0.82902494368909974]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",True,0.5,50.78370666503906,"[0.50408163259899808, 0.54399092984037334, 0.56258503412173178, 0.59999999994593678, 0.61156462628284547]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",True,0.6,42.59436702728272,"[0.69070294800799448, 0.75668934251175446, 0.79433106538119502, 0.81224489782402576, 0.8176870744514898]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",False,0.6,16.463291645050052,"[0.72018140567943889, 0.82380952332295532, 0.86666666642338241, 0.87823129230075414, 0.88526077048848817]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",False,0.6,19.26980686187744,"[0.83333333336036497, 0.88276644017961292, 0.89773242581728629, 0.91043083902929911, 0.91065759639891364]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",False,0.4,39.79317331314087,"[0.66575963643132419, 0.86712018037869543, 0.90430838950907566, 0.92675736961451249, 0.95147392290249433]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",False,0.5,40.536267518997185,"[0.78344671239658281, 0.87732426303854871, 0.93945578231292515, 0.95192743764172338, 0.96507936507936509]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",False,0.5,30.32048892974853,"[0.87868480747248856, 0.92970521541950113, 0.95170068027210886, 0.95442176870748296, 0.96281179138321993]"
